id;name;surname;age;address
1;IB Tennessee;Handmade protocol;55845;Direct
2;AI;Balboa US Dollar Clothing;18092;Orchestrator Soap attitude-oriented
3;Practical Granite Fish International Virginia;overriding Singapore Dollar;57083;Alabama Maryland Checking Account
4;maroon;transmitting background;22403;Persevering
5;Awesome;Division transmit;72930;Benin
6;bifurcated;synthesizing infrastructures Ouguiya;54830;Vision-oriented Dynamic Factors
7;turquoise Palladium;EXE;47619;Mouse Handcrafted Handcrafted
8;turn-key Centralized Plastic;tan;88191;Pants virtual
9;Jordan superstructure Mews;Up-sized Shoes Freeway;74843;Intelligent Frozen Car Handmade
10;Centralized Strategist;Outdoors Ameliorated Chief;56181;architect Credit Card Account
